Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2008,1,5,5,30,0,0,0,0,0,0,0,10.8792071694,1013.530456543,45.737197328,116.4988423229,1.3551778741,0,30.911945343,3.7081532478,0,,,,,,,,,,,,,,
2008,1,5,6,30,0,0,0,0,0,0,0,10.3532730756,1014.1433105469,47.9562833779,103.3805209661,1.3837537485,0,34.3599624634,3.4534084797,0,,,,,,,,,,,,,,
2008,1,5,7,30,0,0,0,0,0,0,0,11.2124855564,1014.7992553711,47.5813300078,90.6566617042,1.41083102,0,36.1098556519,3.0803389549,0,,,,,,,,,,,,,,
2008,1,5,8,30,85,285,142,81,306,142,0,13.9201111725,1015.4345092774,38.4963526956,78.5525276681,1.4477768495,0,35.6578445435,2.3810527325,0,,,,,,,,,,,,,,
2008,1,5,9,30,134,539,341,134,539,341,1,17.7332822772,1016.0724487305,33.584460207,67.3997527284,1.4907467391,0,29.9318771362,1.8081221581,0,,,,,,,,,,,,,,
2008,1,5,10,30,164,660,516,164,660,516,2,22.2647746749,1015.7645874024,26.411553147,57.770625232,1.5392359488,0,21.1849060059,1.7061300278,0,,,,,,,,,,,,,,
2008,1,5,11,30,181,722,640,181,722,640,2,25.7428507153,1015.4636230469,21.5320582567,50.5541285422,1.5833989759,0,14.1999511719,1.8198285103,0,,,,,,,,,,,,,,
2008,1,5,12,30,188,747,699,188,747,699,2,27.8903045479,1014.5277709961,19.6306882729,46.8850244043,1.6283102846,0,14.7266235352,1.8329424858,0,,,,,,,,,,,,,,
2008,1,5,13,30,186,742,687,186,742,687,3,28.6336785246,1013.1696777344,19.8301717633,47.5941257094,1.6597868851,0,13.8682327271,1.7353750467,0,,,,,,,,,,,,,,
2008,1,5,14,30,176,705,606,176,705,606,3,28.2330187991,1012.2598876953,20.9291974533,52.5039626976,1.6733108347,0,8.2332763672,1.7318863869,0,,,,,,,,,,,,,,
2008,1,5,15,30,156,626,463,156,626,463,4,27.0640788525,1012.2057495117,22.7989807927,60.5988481211,1.6845884206,0,355.2322692871,2.0104923248,0,,,,,,,,,,,,,,
2008,1,5,16,30,120,477,277,120,477,277,5,25.3033864953,1012.28515625,28.7178441172,70.7892426853,1.6941500038,0,344.8872070313,2.6612849236,0,,,,,,,,,,,,,,
2008,1,5,17,30,62,77,73,56,192,82,5,22.3548918606,1012.5758666992,33.6365951452,82.2930939961,1.6953063763,0,343.0168457031,3.4830076694,0,,,,,,,,,,,,,,
2008,1,5,18,30,0,0,0,0,0,0,3,21.2478822371,1013.0111694336,31.8646131068,94.6261824786,1.6895570002,0,347.5319213867,4.1368880272,0,,,,,,,,,,,,,,
2008,1,5,19,30,0,0,0,0,0,0,2,20.5403856481,1013.5958862305,29.4077202209,107.4913223685,1.6882186189,0,353.0104370117,4.4700431824,0,,,,,,,,,,,,,,
2008,1,5,20,30,0,0,0,0,0,0,1,19.7159322564,1014.2302246094,29.1190534579,120.7074382209,1.6968156364,0,359.5878295898,4.430202961,0,,,,,,,,,,,,,,
2008,1,5,21,30,0,0,0,0,0,0,0,18.9848464679,1014.1198730469,29.7664706806,134.1566241539,1.7008205779,0,6.5758056641,4.1902217865,0,,,,,,,,,,,,,,
2008,1,5,22,30,0,0,0,0,0,0,0,18.25227338,1013.9043579102,30.65176398,147.7571681654,1.7036739864,0,11.4044723511,3.9315550327,0,,,,,,,,,,,,,,
2008,1,5,23,30,0,0,0,0,0,0,0,17.5105376196,1013.5099487305,31.8822908474,161.442960761,1.6944475495,0,13.4624176025,3.6884024143,0,,,,,,,,,,,,,,
